"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          77,       -4.03563937,      -1.593222912,      -1.910265423,      0.9739800614
          0,           0,          78,      -4.047535856,      -1.595470051,      -1.925481682,       0.901749464
          0,           0,          79,      -4.050924213,      -1.599403008,      -1.929367038,      0.9120218682
          0,           0,          80,      -4.058665758,      -1.602138632,      -1.946755761,      0.8827478628
          0,           0,          81,      -4.059860343,      -1.605180814,      -1.951015373,      0.8990496174
          0,           0,          82,      -4.060104229,      -1.607234058,      -1.958810316,       0.898002458
          0,           0,          83,      -4.054012589,      -1.607315335,      -1.963022218,      0.9223636006
          0,           0,          84,       -4.05013326,      -1.606868351,      -1.961340477,      0.9421570715
          0,           0,          85,      -4.040305962,       -1.60307848,      -1.963185073,      0.9707133094
          0,           0,          86,      -4.033675851,      -1.600762879,      -1.947290276,      0.9850315074
          0,           0,          87,      -4.021263488,      -1.595949933,      -1.947850697,       1.001451067
          0,           0,          88,      -4.018878737,      -1.594298008,      -1.926815316,      0.9875089452
          0,           0,          89,      -4.013310086,      -1.591720374,      -1.928479236,      0.9898486494
          0,           0,          90,      -4.021251337,      -1.592145659,      -1.919921315,      0.9379961934
          0,           0,          91,       -4.02374383,      -1.592741646,      -1.919679949,      0.9254852489
          0,           0,          92,      -4.033105201,      -1.595795452,      -1.928623085,      0.8531538081
          0,           0,          93,      -4.037981789,      -1.599847437,      -1.927754096,      0.8503063913
          0,           0,          94,      -4.044226591,      -1.603623287,      -1.946184103,      0.7882012381
          0,           0,          95,      -4.046588956,      -1.607648233,      -1.942619128,      0.8009703502
          0,           0,          96,      -4.051280487,      -1.611551984,      -1.962213291,      0.7719283279
          0,           0,          97,      -4.051937115,      -1.614621342,      -1.957757515,      0.7985258185
          0,           0,          98,      -4.054196585,      -1.617604732,      -1.973004979,      0.8053523202
          0,           0,          99,      -4.051112451,      -1.617375847,      -1.970163785,      0.8418062949
          0,           0,         100,       -4.04761826,      -1.617068253,       -1.97297766,      0.8757505043
          0,           0,         101,      -4.034306631,      -1.608911734,      -1.969065415,      0.9113705416
          0,           0,         102,      -4.021665887,      -1.605058954,      -1.952670124,      0.9500654648
          0,           0,         103,      -3.998902905,      -1.593408801,      -1.942018495,      0.9611866128
          0,           0,         104,      -3.993298653,      -1.591224866,      -1.922947008,      0.9565873139
          0,           0,         105,      -3.986320591,      -1.585752981,      -1.914148934,      0.9449390378
          0,           0,         106,      -3.990983157,      -1.586944073,      -1.910416917,      0.8976006293
          0,           0,         107,      -3.990599786,      -1.585976157,      -1.904551636,      0.8829949011
          0,           0,         108,      -3.993447798,      -1.588698179,      -1.913495452,      0.8260434045
          0,           0,         109,      -3.993936007,      -1.590572431,      -1.910670789,      0.8236633183
          0,           0,         110,      -3.998285572,      -1.593226778,       -1.92453421,      0.7727646486
          0,           0,         111,       -3.99849064,      -1.594964513,      -1.921868141,      0.7895783055
          0,           0,         112,      -4.005091338,      -1.598398161,      -1.937502102,      0.7574098131
          0,           0,         113,      -4.008630047,      -1.600044745,      -1.936496708,      0.7878489061
          0,           0,         114,      -4.013901236,      -1.603534657,      -1.950880274,      0.7811555344
          0,           0,         115,       -4.02057764,      -1.604565337,      -1.951933145,      0.8193802631
          0,           0,         116,      -4.018215029,      -1.605694136,      -1.956992421,      0.8412322973
          0,           0,         117,      -4.016695768,       -1.60176883,      -1.956651124,       0.881021674
          0,           0,         118,      -4.003500062,      -1.598378603,      -1.947718771,      0.9026843409
          0,           0,         119,       -3.98082645,      -1.585609898,      -1.934183556,      0.9235271979
          0,           0,         120,      -3.969889819,      -1.581928989,      -1.919773477,      0.9279043416
          0,           0,         121,      -3.948475812,      -1.567498544,      -1.906744831,      0.9243585159
          0,           0,         122,      -3.949817409,      -1.565899231,      -1.900323788,      0.9071942467
          0,           0,         123,      -3.943973403,      -1.556953065,       -1.89566318,      0.8945731998
          0,           0,         124,      -3.949586757,      -1.558152165,      -1.896879292,      0.8568023899
          0,           0,         125,      -3.956732566,      -1.557662358,      -1.899171543,      0.8451939131
          0,           0,         126,      -3.960667026,      -1.561379094,      -1.907452768,      0.7989842274
          0,           0,         127,      -3.968389143,      -1.563903261,      -1.908265067,      0.8143545187
          0,           0,         128,      -3.971969175,      -1.568737593,      -1.920462733,      0.7754513285
          0,           0,         129,      -3.973837557,      -1.570902511,      -1.918036359,      0.8063455828
          0,           0,         130,      -3.975541149,      -1.574363597,      -1.931032125,       0.786381889
          0,           0,         131,      -3.971198615,      -1.574844851,      -1.927358327,      0.8214640683
          0,           0,         132,      -3.968325935,      -1.575223407,      -1.934194978,      0.8406909825
          0,           0,         133,      -3.957250055,      -1.570717267,      -1.929892153,       0.880716925
          0,           0,         134,       -3.94920605,      -1.566758828,      -1.925180624,      0.9128300157
          0,           0,         135,      -3.929620434,      -1.552033805,      -1.912865142,      0.9393838905
          0,           0,         136,      -3.926056638,       -1.54656027,      -1.902666393,      0.9474822524
          0,           0,         137,      -3.917194083,      -1.532543563,      -1.886483507,      0.9381951937
          0,           0,         138,      -3.919293622,      -1.530322828,      -1.879936991,      0.9225166599
          0,           0,         139,      -3.919449865,       -1.52496866,      -1.872145889,      0.9119996611
          0,           0,         140,       -3.92187927,      -1.526256341,      -1.875600126,      0.8736140548
          0,           0,         141,      -3.925318903,       -1.52669367,      -1.871831998,       0.867688334
          0,           0,         142,      -3.929442194,      -1.530741709,      -1.884926803,      0.8178216985
          0,           0,         143,      -3.932624847,      -1.532749569,       -1.88318949,      0.8287508556
          0,           0,         144,      -3.938658104,      -1.537843872,      -1.899944475,      0.7867709384
          0,           0,         145,      -3.939946071,      -1.539491251,      -1.898120235,      0.8180817662
          0,           0,         146,      -3.945498205,       -1.54344359,      -1.911717657,      0.8082717834
          0,           0,         147,      -3.943617766,      -1.542421734,      -1.908825336,      0.8391156582
          0,           0,         148,      -3.943914696,      -1.542178024,      -1.915909867,      0.8605251679
          0,           0,         149,       -3.93596368,      -1.535515738,       -1.91016335,       0.884232897
          0,           0,         150,      -3.932109641,      -1.530804384,      -1.910449909,      0.9139353765
          0,           0,         151,      -3.923670076,      -1.520797837,      -1.900271736,      0.9239493211
          0,           0,         152,      -3.923588311,      -1.516751679,      -1.896132623,      0.9439005724
          0,           0,         153,      -3.918622294,      -1.507932201,      -1.883491043,      0.9369841927
          0,           0,         154,      -3.920371118,       -1.50703424,      -1.881976006,      0.9380171156
          0,           0,         155,      -3.916218654,      -1.502890453,      -1.869159731,      0.9231365496
          0,           0,         156,      -3.918706249,      -1.504935778,      -1.873513848,      0.8846911127
          0,           0,         157,      -3.916815504,      -1.504998424,       -1.86388945,       0.877955989
          0,           0,         158,       -3.92132085,      -1.509383444,      -1.873343795,      0.8210219855
          0,           0,         159,      -3.919499946,      -1.509994021,      -1.866595286,      0.8231495955
          0,           0,         160,      -3.924911725,      -1.515278119,      -1.880491667,      0.8017395999
